company_name_length,template_id,sales_count
6-10,504786,2
6-10,601026,2
6-10,149551,81
26+,472637,1
11-15,204942,1
15-20,267690,2
1-5,762232,1
15-20,32502,2
15-20,3557622,4
6-10,600846,5
20-25,673297,4
11-15,3593920,28
1-5,662146,2
26+,556855,9
20-25,207376,2
11-15,844059,2
11-15,32823,1
11-15,3386735,26
20-25,74340,1
26+,1947965,1
1-5,105886,3
11-15,137642,1
20-25,3593920,4
1-5,170892,1
26+,266350,1
6-10,3164270,8
15-20,601046,3
15-20,431561,1
1-5,74059,11
15-20,92495,1
1-5,888076,2
15-20,74411,3
26+,327010,1
15-20,6037719,13
15-20,724928,1
26+,798867,3
1-5,274884,1
11-15,74059,32
6-10,92495,1
6-10,600969,6
1-5,73524,1
1-5,400533,5
6-10,3591052,17
20-25,6037719,7
26+,3371429,21
26+,778719,48
11-15,3077479,7
20-25,422115,1
11-15,3065783,1
6-10,150306,2
1-5,237823,2
15-20,266201,2
6-10,798549,18
1-5,556878,12
11-15,265144,2
1-5,79138,1
20-25,81165,1
15-20,799093,1
11-15,320172,2
6-10,422115,1
6-10,139034,1
11-15,32884,2
6-10,74044,12
11-15,274898,3
20-25,150669,14
11-15,3581654,1
11-15,326810,5
6-10,763113,2
1-5,327166,1
20-25,504583,1
11-15,162721,11
6-10,180067,15
15-20,421467,1
1-5,431581,2
11-15,6030172,4
1-5,472636,22
20-25,132580,2
11-15,3164270,7
26+,32563,1
20-25,150207,1
20-25,73524,1
26+,87842,3
6-10,169278,4
6-10,265423,1
6-10,274898,10
26+,169645,4
15-20,80437,12
26+,600940,4
11-15,778719,220
1-5,32029,4
11-15,6038196,11
26+,266211,2
6-10,32502,2
20-25,96253,1
26+,80795,3
1-5,132580,2
20-25,150652,3
26+,2974173,1
15-20,472636,68
6-10,266350,4
15-20,91245,6
6-10,3333176,4
26+,6038196,4
6-10,6038175,4
6-10,96256,1
11-15,266220,5
1-5,150514,1
15-20,761362,1
20-25,266242,3
1-5,768686,1
26+,400762,29
20-25,673227,1
6-10,78131,1
6-10,179880,1
6-10,761362,1
11-15,672836,1
20-25,326757,4
26+,238456,1
20-25,204942,1
1-5,175728,30
26+,74374,19
11-15,421467,1
6-10,264998,3
11-15,179730,3
26+,187578,4
1-5,6038635,12
11-15,3138622,136
15-20,798549,7
6-10,238456,1
6-10,73524,5
6-10,421815,1
26+,3386735,1
11-15,237823,10
26+,3557622,1
20-25,3333176,1
1-5,149072,1
11-15,267690,4
20-25,180067,2
26+,3581654,4
11-15,504583,8
20-25,265407,2
11-15,3082764,3
6-10,3155624,2
11-15,266242,9
1-5,472643,4
6-10,3386163,2
6-10,556878,45
11-15,493167,36
20-25,556873,1
15-20,768558,12
15-20,3155624,1
26+,150750,21
6-10,92666,3
1-5,600846,1
6-10,73712,1
15-20,2974601,4
6-10,91245,14
20-25,76526,2
15-20,78885,10
15-20,32895,1
1-5,150750,48
20-25,32935,1
11-15,421448,111
6-10,556855,23
11-15,92666,2
15-20,2252248,3
15-20,266211,3
15-20,179880,2
1-5,179849,8
26+,321138,1
6-10,3974200,1
6-10,208942,1
20-25,401155,2
26+,472633,10
26+,6038705,4
20-25,326920,3
15-20,170892,2
15-20,194835,1
11-15,661952,4
15-20,85850,5
15-20,266178,1
1-5,74340,5
1-5,20,9
15-20,327188,2
6-10,179849,12
11-15,556878,38
1-5,472632,9
15-20,69515,5
26+,321145,2
20-25,237823,1
1-5,556855,10
20-25,3155773,9
20-25,91274,2
20-25,238195,2
1-5,556871,1
6-10,150207,4
11-15,150578,1
1-5,69515,3
26+,888076,1
26+,111575,1
26+,274898,2
20-25,6038705,2
20-25,400920,1
11-15,111575,7
1-5,669712,5
11-15,76439,1
11-15,431581,23
11-15,81165,3
6-10,3082764,3
1-5,326920,4
26+,6038635,8
6-10,673227,1
6-10,421846,2
6-10,493167,33
11-15,472633,20
11-15,209112,8
15-20,76416,1
26+,673297,7
1-5,6038705,3
11-15,74411,5
15-20,237769,2
6-10,600940,4
1-5,493167,19
6-10,408562,21
1-5,601219,1
15-20,265429,1
26+,6030172,1
15-20,669601,2
15-20,3065955,1
1-5,421815,3
1-5,421467,1
26+,74498,3
11-15,3276885,1
6-10,149798,1
11-15,3077172,2
1-5,110392,1
15-20,321431,7
11-15,105886,3
15-20,673297,18
11-15,601219,1
1-5,761016,3
11-15,3156040,1
11-15,266178,14
15-20,600846,3
1-5,2974601,3
20-25,3557622,1
11-15,669555,1
11-15,79138,3
1-5,600940,1
15-20,85601,3
15-20,3107528,4
6-10,150153,2
1-5,3155624,2
6-10,150488,1
20-25,105886,2
20-25,2974430,1
6-10,400533,15
15-20,3386005,2
6-10,6038196,17
20-25,669712,4
11-15,237769,1
26+,87878,5
11-15,601099,6
11-15,556855,21
11-15,3492422,8
15-20,175728,35
26+,662192,1
15-20,3386163,3
20-25,96317,1
11-15,3333176,7
6-10,20,17
26+,669712,4
11-15,768686,1
6-10,6038098,1
11-15,6037719,35
26+,761016,2
20-25,662049,11
11-15,321145,3
15-20,80795,4
1-5,78837,12
1-5,662049,12
6-10,74488,51
11-15,170892,2
15-20,408562,5
6-10,85601,13
15-20,274898,2
1-5,266211,2
11-15,2974246,3
26+,3155773,8
6-10,76840,3
11-15,76416,1
11-15,150652,14
26+,139034,1
15-20,150617,3
1-5,73796,27
1-5,209112,2
26+,267690,1
1-5,85601,2
20-25,265429,1
6-10,661952,7
20-25,74351,2
20-25,20,2
11-15,85572,1
1-5,400655,2
6-10,110333,6
15-20,504583,4
6-10,88039,12
6-10,207524,4
1-5,3557622,4
6-10,207376,8
6-10,32563,19
15-20,74374,23
1-5,662192,1
20-25,768558,4
1-5,91274,6
20-25,680977,47
20-25,149072,18
20-25,74374,11
1-5,87842,1
26+,327188,1
20-25,472636,29
1-5,204942,1
20-25,207340,1
6-10,662192,5
11-15,807806,6
26+,105886,1
15-20,78837,20
26+,85850,4
1-5,3371429,27
11-15,778679,2
11-15,96253,14
20-25,2144698,2
15-20,779703,1
26+,401155,2
11-15,3557622,14
1-5,2211860,2
1-5,265423,1
11-15,3371429,132
1-5,327010,2
20-25,169278,2
6-10,85850,9
11-15,184367,1
6-10,274505,15
6-10,32823,1
26+,680977,41
26+,209112,1
1-5,3591052,3
11-15,600940,2
1-5,2144698,2
20-25,74059,3
20-25,400982,1
1-5,207376,6
15-20,601099,5
15-20,2145610,18
26+,835344,11
11-15,3394685,2
15-20,3082764,2
11-15,6038098,2
26+,76753,1
26+,472643,3
26+,2237495,1
20-25,6109285,17
6-10,76526,25
6-10,74340,10
20-25,6035796,2
20-25,3371429,26
6-10,175728,115
20-25,669601,1
1-5,724928,1
6-10,91274,11
26+,317457,1
11-15,3262563,3
6-10,267723,4
20-25,400472,1
6-10,237769,3
15-20,150306,3
11-15,835344,71
6-10,327166,1
6-10,556871,2
15-20,2957199,1
11-15,194835,1
11-15,6035796,2
11-15,662049,46
11-15,2192023,2
1-5,661952,4
15-20,32563,5
20-25,600998,1
6-10,266242,3
20-25,472632,1
15-20,96253,6
20-25,556855,6
1-5,150652,9
20-25,266371,1
1-5,149551,30
6-10,78885,27
6-10,78378,1
20-25,274898,3
1-5,326810,2
1-5,76439,1
11-15,274505,19
20-25,600846,3
1-5,266201,1
26+,175728,4
6-10,321128,1
20-25,149551,14
6-10,6036009,6
11-15,3065031,190
26+,179880,2
20-25,2147460,1
1-5,317457,1
6-10,179730,1
1-5,3591322,1
6-10,193622,5
15-20,85528,1
26+,74488,11
6-10,274884,7
15-20,661952,2
26+,74411,1
11-15,6038326,4
11-15,2237495,3
11-15,400982,3
15-20,76840,1
6-10,3263751,1
11-15,169278,6
20-25,600969,2
1-5,6038434,10
6-10,807806,2
6-10,6038326,9
11-15,472643,18
26+,179730,3
1-5,6037719,14
11-15,80437,30
26+,431581,2
20-25,179730,1
15-20,74488,24
11-15,76465,1
11-15,400596,1
1-5,275152,1
6-10,669601,1
1-5,3394824,5
11-15,3371229,2
6-10,86469,3
20-25,170400,6
11-15,400762,46
11-15,150207,6
15-20,668194,1
1-5,92495,1
26+,132580,3
11-15,6038434,12
1-5,179939,1
6-10,2252248,2
11-15,76800,1
6-10,669555,1
20-25,835344,14
6-10,3163893,1
11-15,798867,7
11-15,3394761,1
1-5,149106,2
15-20,180067,2
20-25,150750,21
11-15,133715,2
1-5,74044,2
15-20,3082441,1
11-15,150669,59
6-10,790382,7
11-15,265238,4
6-10,778719,146
6-10,472644,2
11-15,422115,2
1-5,680977,90
26+,80437,2
11-15,87878,29
26+,400982,1
11-15,326757,15
6-10,111575,8
11-15,6038544,9
11-15,798549,8
20-25,110409,4
6-10,798867,10
26+,110409,1
15-20,662049,27
6-10,3156040,3
15-20,762232,1
11-15,274884,5
11-15,149383,5
26+,3155624,2
11-15,2974173,10
20-25,431581,2
1-5,601046,3
1-5,668180,1
1-5,408562,7
1-5,3065308,1
6-10,601135,2
11-15,6035699,132
6-10,32021,2
15-20,170589,1
6-10,85572,4
26+,400533,1
6-10,326757,8
1-5,186806,1
15-20,73524,1
6-10,96317,6
11-15,6036179,9
15-20,601026,1
20-25,3394824,2
26+,149551,13
6-10,267690,2
6-10,421467,2
1-5,96256,2
11-15,150488,4
26+,3138622,21
26+,150488,2
26+,472632,2
11-15,2145454,1
15-20,209112,6
6-10,2974430,6
20-25,327166,1
1-5,3156040,1
1-5,2974430,4
6-10,3371229,1
11-15,267723,4
11-15,472644,3
20-25,91245,1
6-10,69515,1
6-10,2895905,3
15-20,162721,4
11-15,74507,2
15-20,3155773,10
20-25,87842,5
20-25,69515,3
1-5,207524,4
15-20,266242,2
1-5,2237495,4
1-5,3163893,1
15-20,3164966,4
15-20,790382,8
1-5,669601,1
15-20,81165,1
15-20,175310,1
6-10,321154,21
11-15,2145610,29
15-20,421676,1
11-15,73575,1
1-5,32563,8
26+,660847,1
15-20,6038326,2
15-20,150750,60
15-20,835344,26
20-25,6038175,2
6-10,6030172,1
11-15,92421,27
11-15,87842,17
20-25,668194,2
26+,91245,3
1-5,92666,4
11-15,266211,8
6-10,662049,40
26+,472636,42
15-20,265144,1
20-25,6036179,2
6-10,326960,3
1-5,169278,3
26+,149072,5
